CD_CIN Number,BS_Long-Term Borrowings,BS_Year End
L92490MH2010PLC199925,10393490000,201503
L92490MH2010PLC199925,10880440000,201403
L92490MH2010PLC199925,7311030000,201303
L92490MH2010PLC199925,30710000,201203
L92490MH2010PLC199925,0,201103
L52520MP1986PLC003405,78061122,201703
L52520MP1986PLC003405,87658022,201603
L52520MP1986PLC003405,88728722,201503
L52520MP1986PLC003405,95241323,201403
L52520MP1986PLC003405,70921550,201303
L52520MP1986PLC003405,173765011,201203
L52520MP1986PLC003405,156903287,201103
L31909KA1974PLC020010,0,201703
L31909KA1974PLC020010,0,201603
L31909KA1974PLC020010,17000000,201503
L31909KA1974PLC020010,18500000,201403
L31909KA1974PLC020010,0,201303
L31909KA1974PLC020010,0,201203
L31909KA1974PLC020010,0,201103
L85110KA1948PLC000545,0,201703
L85110KA1948PLC000545,0,201603
L85110KA1948PLC000545,0,201503
L85110KA1948PLC000545,0,201403
L85110KA1948PLC000545,0,201303
L85110KA1948PLC000545,0,201203
L85110KA1948PLC000545,0,201103
L70100MH1951PLC008647,0,201703
L70100MH1951PLC008647,0,201603
L70100MH1951PLC008647,1300000,201503
L70100MH1951PLC008647,7700000,201403
L70100MH1951PLC008647,14000000,201303
L70100MH1951PLC008647,10738000,201203
L70100MH1951PLC008647,6414000,201103
L85110DL1984PLC018486,12356244,201703
L85110DL1984PLC018486,0,201603
L85110DL1984PLC018486,0,201503
L85110DL1984PLC018486,0,201403
L85110DL1984PLC018486,0,201303
L85110DL1984PLC018486,0,201203
L85110DL1984PLC018486,12840407,201103
L33111TN1990PLC018678,0,201703
L33111TN1990PLC018678,0,201603
L33111TN1990PLC018678,0,201503
L33111TN1990PLC018678,0,201403
L33111TN1990PLC018678,0,201303
L33111TN1990PLC018678,520041,201203
L33111TN1990PLC018678,4894593,201103
L45309GJ1988PLC011139,580110143,201703
L45309GJ1988PLC011139,591151890,201603
L45309GJ1988PLC011139,687819129,201503
L45309GJ1988PLC011139,738820440,201403
L45309GJ1988PLC011139,707239462,201303
L45309GJ1988PLC011139,1087346837,201203
L45309GJ1988PLC011139,129343741,201103
L31401HR2011PLC042015,33182575,201703
L31401HR2011PLC042015,9475399,201603
L31401HR2011PLC042015,305850914,201503
L31401HR2011PLC042015,303493343,201403
L31401HR2011PLC042015,204483000,201303
L31401HR2011PLC042015,0,201203
L51494GJ1979PLC006698,19907837,201703
L51494GJ1979PLC006698,32701402,201603
L51494GJ1979PLC006698,50354501,201503
L51494GJ1979PLC006698,36404955,201403
L51494GJ1979PLC006698,1500000,201303
L51494GJ1979PLC006698,0,201203
L51494GJ1979PLC006698,11445462,201103
L23200GJ1985PLC008013,16325419,201703
L23200GJ1985PLC008013,15309017,201603
L23200GJ1985PLC008013,16582179,201503
L23200GJ1985PLC008013,16602569,201403
L23200GJ1985PLC008013,10634989,201303
L23200GJ1985PLC008013,14052048,201203
L23200GJ1985PLC008013,11685609,201103
L65999WB1994PLC065726,11915523,201703
L65999WB1994PLC065726,2150892,201603
L65999WB1994PLC065726,2050000,201503
L65999WB1994PLC065726,26504247,201403
L65999WB1994PLC065726,31403014,201303
L65999WB1994PLC065726,31403014,201206
L65999WB1994PLC065726,50000,201103
U17119GJ1990PLC014406,97259357,201703
U17119GJ1990PLC014406,74347702,201603
U17119GJ1990PLC014406,60774713,201503
U17119GJ1990PLC014406,39201721,201403
U17119GJ1990PLC014406,44358360,201303
U17119GJ1990PLC014406,43092366,201203
U17119GJ1990PLC014406,13359275,201103
U24200MH1989PLC051018,121350000,201703
U24200MH1989PLC051018,156010000,201603
